x,y,z,phi_pg,di
0.00000000e+00,8.57142857e-01,7.85714286e-01,2.04872649e-01,5.33050578e-01
0.00000000e+00,8.57142857e-01,8.57142857e-01,1.70109524e-01,5.33050578e-01
0.00000000e+00,8.57142857e-01,9.28571429e-01,2.96777328e-01,5.33050578e-01
0.00000000e+00,8.57142857e-01,1.00000000e+00,2.04144948e-01,5.33050578e-01
0.00000000e+00,9.28571429e-01,0.00000000e+00,2.15524862e-01,5.33050578e-01
0.00000000e+00,9.28571429e-01,7.14285714e-02,3.03642467e-01,5.33050578e-01
0.00000000e+00,9.28571429e-01,1.42857143e-01,2.62752061e-01,5.33050578e-01
0.00000000e+00,9.28571429e-01,2.14285714e-01,3.57865167e-01,5.33050578e-01
0.00000000e+00,9.28571429e-01,2.85714286e-01,2.84252272e-01,5.33050578e-01
0.00000000e+00,9.28571429e-01,3.57142857e-01,1.96951002e-01,5.33050578e-01
0.00000000e+00,9.28571429e-01,4.28571429e-01,4.77362645e-01,5.33050578e-01
0.00000000e+00,9.28571429e-01,5.00000000e-01,2.16478895e-01,5.33050578e-01
0.00000000e+00,9.28571429e-01,5.71428571e-01,2.12185906e-01,5.33050578e-01
0.00000000e+00,9.28571429e-01,6.42857143e-01,1.57261885e-01,5.33050578e-01
0.00000000e+00,9.28571429e-01,7.14285714e-01,2.69082769e-01,5.33050578e-01
0.00000000e+00,9.28571429e-01,7.85714286e-01,2.06865051e-01,5.33050578e-01
0.00000000e+00,9.28571429e-01,8.57142857e-01,1.91826274e-01,5.33050578e-01
0.00000000e+00,9.28571429e-01,9.28571429e-01,1.87405676e-01,5.33050578e-01
0.00000000e+00,9.28571429e-01,1.00000000e+00,1.95140596e-01,5.33050578e-01
0.00000000e+00,1.00000000e+00,0.00000000e+00,1.78781520e-01,5.33050578e-01
0.00000000e+00,1.00000000e+00,7.14285714e-02,1.94312411e-01,5.33050578e-01
0.00000000e+00,1.00000000e+00,1.42857143e-01,1.97462166e-01,5.33050578e-01
0.00000000e+00,1.00000000e+00,2.14285714e-01,1.94291067e-01,5.33050578e-01
0.00000000e+00,1.00000000e+00,2.85714286e-01,1.98346482e-01,5.33050578e-01
0.00000000e+00,1.00000000e+00,3.57142857e-01,2.93185207e-01,5.33050578e-01
0.00000000e+00,1.00000000e+00,4.28571429e-01,2.85978190e-01,5.33050578e-01
0.00000000e+00,1.00000000e+00,5.00000000e-01,4.25663518e-01,5.33050578e-01
0.00000000e+00,1.00000000e+00,5.71428571e-01,2.34720445e-01,5.33050578e-01
0.00000000e+00,1.00000000e+00,6.42857143e-01,2.01407843e-01,5.33050578e-01
0.00000000e+00,1.00000000e+00,7.14285714e-01,2.15156201e-01,5.33050578e-01
0.00000000e+00,1.00000000e+00,7.85714286e-01,2.10010536e-01,5.33050578e-01
0.00000000e+00,1.00000000e+00,8.57142857e-01,1.69986267e-01,5.33050578e-01
0.00000000e+00,1.00000000e+00,9.28571429e-01,2.78430395e-01,5.33050578e-01
0.00000000e+00,1.00000000e+00,1.00000000e+00,3.22039289e-01,5.33050578e-01
7.14285714e-02,0.00000000e+00,0.00000000e+00,1.55356519e-01,5.33050578e-01
